kernels,baseline,linalg,linalg_xdsl,snitch_stream,snrt,min_llvm_mlir
matmul 4x52x64xf64,96185,,,14956,,96185
matmul 4x52x8xf64,12169,,,2020,,12169
matmul 4x56x12xf64,19477,,,3160,,19477
matmul 4x56x16xf64,26013,,,4149,,26013
matmul 4x56x20xf64,32454,,,5140,,32454
matmul 4x56x24xf64,38911,,,6126,,38911
matmul 4x56x28xf64,45356,,,7125,,45356
matmul 4x56x32xf64,51808,,,8104,,51808
matmul 4x56x36xf64,58259,,,9120,,58259
matmul 4x56x40xf64,64699,,,10110,,64699
matmul 4x56x44xf64,71156,,,11110,,71156
matmul 4x56x48xf64,77596,,,12108,,77596
matmul 4x56x4xf64,6663,,,1172,,6663
matmul 4x56x52xf64,84053,,,13074,,84053
matmul 4x56x56xf64,90488,,,14077,,90488
matmul 4x56x60xf64,96943,,,15042,,96943
matmul 4x56x64xf64,103385,,,16047,,103385
matmul 4x56x8xf64,13072,,,2159,,13072
matmul 4x60x12xf64,20833,,,3371,,20833
matmul 4x60x16xf64,27822,,,4417,,27822
matmul 4x60x20xf64,34706,,,5484,,34706
matmul 4x60x24xf64,41616,,,6541,,41616
matmul 4x60x28xf64,48504,,,7608,,48504
matmul 4x60x32xf64,55409,,,8654,,55409
matmul 4x60x36xf64,62302,,,9745,,62302
matmul 4x60x40xf64,69207,,,10783,,69207
matmul 4x60x44xf64,76100,,,11871,,76100
matmul 4x60x48xf64,83005,,,12912,,83005
matmul 4x60x4xf64,7116,,,1244,,7116
matmul 4x60x52xf64,89893,,,13968,,89893
matmul 4x60x56xf64,96803,,,15028,,96803
matmul 4x60x60xf64,103696,,,16091,,103696
matmul 4x60x64xf64,110590,,,17143,,110590
matmul 4x60x8xf64,13975,,,2291,,13975
matmul 4x64x12xf64,22186,,,3573,,22186
matmul 4x64x16xf64,29620,,,4698,,29620
matmul 4x64x20xf64,36959,,,5826,,36959
matmul 4x64x24xf64,44311,,,6957,,44311
matmul 4x64x28xf64,51658,,,8086,,51658
matmul 4x64x32xf64,59005,,,9211,,59005
matmul 4x64x36xf64,66357,,,10351,,66357
matmul 4x64x40xf64,73704,,,11474,,73704
matmul 4x64x44xf64,81051,,,12616,,81051
matmul 4x64x48xf64,88398,,,13741,,88398
matmul 4x64x4xf64,7569,,,1308,,7569
matmul 4x64x52xf64,95750,,,14858,,95750
matmul 4x64x56xf64,103097,,,15987,,103097
matmul 4x64x60xf64,110444,,,17113,,110444
matmul 4x64x64xf64,117801,,,18244,,117801
matmul 4x64x8xf64,14876,,,2444,,14876
matmul 4x8x12xf64,1977,,,690,,1977
matmul 4x8x16xf64,2590,,,862,,2590
matmul 4x8x20xf64,3208,,,1038,,3208
matmul 4x8x24xf64,3821,,,1209,,3821
matmul 4x8x28xf64,4424,,,1373,,4424
matmul 4x8x32xf64,5036,,,1565,,5036
matmul 4x8x36xf64,5649,,,1721,,5649
matmul 4x8x40xf64,6262,,,1888,,6262
matmul 4x8x44xf64,6880,,,2087,,6880
matmul 4x8x48xf64,7493,,,2251,,7493
matmul 4x8x4xf64,783,,,330,,783
matmul 4x8x52xf64,8119,,,2424,,8119
matmul 4x8x56xf64,8736,,,2590,,8736
matmul 4x8x60xf64,9328,,,2760,,9328
matmul 4x8x64xf64,9949,,,2973,,9949
matmul 4x8x8xf64,1334,,,512,,1334
matmul 8x12x12xf64,5513,,,1613,,5513
matmul 8x12x16xf64,7288,,,2068,,7288
matmul 8x12x20xf64,9060,,,2552,,9060
matmul 8x12x24xf64,10838,,,3028,,10838
matmul 8x12x28xf64,12608,,,3494,,12608
matmul 8x12x32xf64,14391,,,4008,,14391
matmul 8x12x36xf64,16158,,,4446,,16158
matmul 8x12x40xf64,17923,,,4922,,17923
matmul 8x12x44xf64,19694,,,5466,,19694
matmul 8x12x48xf64,21464,,,5903,,21464
matmul 8x12x4xf64,2033,,,636,,2033
matmul 8x12x52xf64,23234,,,6384,,23234
matmul 8x12x56xf64,24998,,,6867,,24998
matmul 8x12x60xf64,26768,,,7319,,26768
matmul 8x12x64xf64,28549,,,7863,,28549
matmul 8x12x8xf64,3746,,,1119,,3746
matmul 8x16x12xf64,7231,,,2009,,7231
matmul 8x16x16xf64,9558,,,2606,,9558
matmul 8x16x20xf64,11875,,,3218,,11875
matmul 8x16x24xf64,14199,,,3826,,14199
matmul 8x16x28xf64,16528,,,4436,,16528
matmul 8x16x32xf64,18834,,,5082,,18834
matmul 8x16x36xf64,21148,,,5660,,21148
matmul 8x16x40xf64,23503,,,6276,,23503
matmul 8x16x44xf64,25814,,,6953,,25814
matmul 8x16x48xf64,28133,,,7496,,28133
matmul 8x16x4xf64,2585,,,771,,2585
matmul 8x16x52xf64,30432,,,8124,,30432
matmul 8x16x56xf64,32758,,,8726,,32758
matmul 8x16x60xf64,35065,,,9335,,35065
matmul 8x16x64xf64,37377,,,9998,,37377
matmul 8x16x8xf64,4915,,,1388,,4915
matmul 8x20x12xf64,8887,,,2417,,8887
matmul 8x20x16xf64,11748,,,3147,,11748
matmul 8x20x20xf64,14612,,,3890,,14612
matmul 8x20x24xf64,17483,,,4653,,17483
matmul 8x20x28xf64,20339,,,5380,,20339
matmul 8x20x32xf64,23217,,,6159,,23217
matmul 8x20x36xf64,26075,,,6898,,26075
matmul 8x20x40xf64,28934,,,7620,,28934
matmul 8x20x44xf64,31809,,,8438,,31809
matmul 8x20x48xf64,34672,,,9127,,34672
matmul 8x20x4xf64,3204,,,920,,3204
matmul 8x20x52xf64,37549,,,9864,,37549
matmul 8x20x56xf64,40411,,,10646,,40411
matmul 8x20x60xf64,43279,,,11349,,43279
matmul 8x20x64xf64,46139,,,12133,,46139
matmul 8x20x8xf64,6035,,,1665,,6035
matmul 8x24x12xf64,10603,,,2819,,10603
matmul 8x24x16xf64,14015,,,3695,,14015
matmul 8x24x20xf64,17427,,,4565,,17427
matmul 8x24x24xf64,20820,,,5470,,20820
matmul 8x24x28xf64,24230,,,6338,,24230
matmul 8x24x32xf64,27638,,,7227,,27638
matmul 8x24x36xf64,31056,,,8112,,31056
matmul 8x24x40xf64,34481,,,8970,,34481
matmul 8x24x44xf64,37880,,,9913,,37880
matmul 8x24x48xf64,41302,,,10752,,41302
matmul 8x24x4xf64,3778,,,1059,,3778
matmul 8x24x52xf64,44735,,,11614,,44735
matmul 8x24x56xf64,48121,,,12517,,48121
matmul 8x24x60xf64,51555,,,13377,,51555
matmul 8x24x64xf64,54954,,,14268,,54954
matmul 8x24x8xf64,7184,,,1933,,7184
matmul 8x28x12xf64,12469,,,3229,,12469
matmul 8x28x16xf64,16489,,,4241,,16489
matmul 8x28x20xf64,20519,,,5247,,20519
matmul 8x28x24xf64,24539,,,6282,,24539
matmul 8x28x28xf64,28564,,,7280,,28564
matmul 8x28x32xf64,32574,,,8295,,32574
matmul 8x28x36xf64,36613,,,9337,,36613
matmul 8x28x40xf64,40629,,,10324,,40629
matmul 8x28x44xf64,44666,,,11397,,44666
matmul 8x28x48xf64,48690,,,12379,,48690
matmul 8x28x4xf64,4433,,,1199,,4433
matmul 8x28x52xf64,52727,,,13361,,52727
matmul 8x28x56xf64,56744,,,14412,,56744
matmul 8x28x60xf64,60757,,,15414,,60757
matmul 8x28x64xf64,64790,,,16403,,64790
matmul 8x28x8xf64,8459,,,2208,,8459
matmul 8x32x12xf64,21895,,,3627,,21895
matmul 8x32x16xf64,29489,,,4770,,29489
matmul 8x32x20xf64,35954,,,5927,,35954
matmul 8x32x24xf64,43072,,,7071,,43072
matmul 8x32x28xf64,50199,,,8236,,50199
matmul 8x32x32xf64,57309,,,9373,,57309
matmul 8x32x36xf64,64437,,,10552,,64437
matmul 8x32x40xf64,71581,,,11665,,71581
matmul 8x32x44xf64,78768,,,12867,,78768
matmul 8x32x48xf64,85893,,,13985,,85893
matmul 8x32x4xf64,7093,,,1311,,7093
matmul 8x32x52xf64,93076,,,15133,,93076
matmul 8x32x56xf64,100205,,,16278,,100205
matmul 8x32x60xf64,107316,,,17431,,107316
matmul 8x32x64xf64,114554,,,18550,,114554
matmul 8x32x8xf64,14560,,,2463,,14560
matmul 8x36x12xf64,25123,,,4049,,25123
matmul 8x36x16xf64,33598,,,5336,,33598
matmul 8x36x20xf64,42201,,,6611,,42201
matmul 8x36x24xf64,50578,,,7900,,50578
matmul 8x36x28xf64,58953,,,9189,,58953
matmul 8x36x32xf64,67330,,,10464,,67330
matmul 8x36x36xf64,75708,,,11785,,75708
matmul 8x36x40xf64,84120,,,13039,,84120
matmul 8x36x44xf64,92561,,,14370,,92561
matmul 8x36x48xf64,100946,,,15643,,100946
matmul 8x36x4xf64,8481,,,1467,,8481
matmul 8x36x52xf64,109365,,,16883,,109365
matmul 8x36x56xf64,117750,,,18191,,117750
matmul 8x36x60xf64,126139,,,19461,,126139
matmul 8x36x64xf64,134593,,,20713,,134593
matmul 8x36x8xf64,16873,,,2707,,16873
matmul 8x40x12xf64,27825,,,4461,,27825
matmul 8x40x16xf64,37196,,,5879,,37196
matmul 8x40x20xf64,46702,,,7283,,46702
matmul 8x40x24xf64,55981,,,8714,,55981
matmul 8x40x28xf64,65259,,,10130,,65259
matmul 8x40x32xf64,74526,,,11532,,74526
matmul 8x40x36xf64,83794,,,12991,,83794
matmul 8x40x40xf64,92765,,,14037,,92765
matmul 8x40x44xf64,102441,,,15849,,102441
matmul 8x40x48xf64,111721,,,17249,,111721
matmul 8x40x4xf64,9387,,,1602,,9387
matmul 8x40x52xf64,121040,,,18639,,121040
matmul 8x40x56xf64,130329,,,20048,,130329
matmul 8x40x60xf64,139621,,,21464,,139621
matmul 8x40x64xf64,148964,,,22865,,148964
matmul 8x40x8xf64,18674,,,2976,,18674
matmul 8x44x12xf64,30522,,,4867,,30522
matmul 8x44x16xf64,40789,,,6421,,40789
matmul 8x44x20xf64,51197,,,7964,,51197
matmul 8x44x24xf64,61376,,,9525,,61376
matmul 8x44x28xf64,71550,,,11067,,71550
matmul 8x44x32xf64,81709,,,12607,,81709
matmul 8x44x36xf64,91893,,,14218,,91893
matmul 8x44x40xf64,102109,,,15741,,102109
matmul 8x44x44xf64,112326,,,17323,,112326
matmul 8x44x48xf64,122508,,,18875,,122508
matmul 8x44x4xf64,10287,,,1745,,10287
matmul 8x44x52xf64,132717,,,20391,,132717
matmul 8x44x56xf64,142903,,,21942,,142903
matmul 8x44x60xf64,153089,,,23465,,153089
matmul 8x44x64xf64,163334,,,25016,,163334
matmul 8x44x8xf64,20475,,,3245,,20475
matmul 8x48x12xf64,33224,,,5274,,33224
matmul 8x48x16xf64,44392,,,6958,,44392
matmul 8x48x20xf64,55696,,,8642,,55696
matmul 8x48x24xf64,66756,,,10316,,66756
matmul 8x48x28xf64,77832,,,11994,,77832
matmul 8x48x32xf64,88902,,,13687,,88902
matmul 8x48x36xf64,99981,,,15426,,99981
matmul 8x48x40xf64,111098,,,17084,,111098
matmul 8x48x44xf64,122211,,,18809,,122211
matmul 8x48x48xf64,133284,,,20480,,133284
matmul 8x48x4xf64,11192,,,1877,,11192
matmul 8x48x52xf64,144404,,,22137,,144404
matmul 8x48x56xf64,155485,,,23804,,155485
matmul 8x48x60xf64,166574,,,25467,,166574
matmul 8x48x64xf64,177709,,,27167,,177709
matmul 8x48x8xf64,22280,,,3566,,22280
matmul 8x4x12xf64,2025,,,805,,2025
matmul 8x4x16xf64,2841,,,1018,,2841
matmul 8x4x20xf64,3518,,,1231,,3518
matmul 8x4x24xf64,4200,,,1449,,4200
matmul 8x4x28xf64,4877,,,1662,,4877
matmul 8x4x32xf64,5554,,,1873,,5554
matmul 8x4x36xf64,6231,,,2078,,6231
matmul 8x4x40xf64,6913,,,2291,,6913
matmul 8x4x44xf64,7590,,,2509,,7590
matmul 8x4x48xf64,8267,,,2722,,8267
matmul 8x4x4xf64,704,,,370,,704
matmul 8x4x52xf64,8944,,,2935,,8944
matmul 8x4x56xf64,9638,,,3157,,9638
matmul 8x4x60xf64,10317,,,3370,,10317
matmul 8x4x64xf64,10998,,,3604,,10998
matmul 8x4x8xf64,1397,,,597,,1397
matmul 8x52x12xf64,35921,,,5682,,35921
matmul 8x52x16xf64,47985,,,7500,,47985
matmul 8x52x20xf64,60195,,,9324,,60195
matmul 8x52x24xf64,72161,,,11148,,72161
matmul 8x52x28xf64,84132,,,12951,,84132
matmul 8x52x32xf64,96098,,,14775,,96098
matmul 8x52x36xf64,108056,,,16629,,108056
matmul 8x52x40xf64,120068,,,18434,,120068
matmul 8x52x44xf64,132078,,,20288,,132078
matmul 8x52x48xf64,144057,,,22101,,144057
matmul 8x52x4xf64,12092,,,2022,,12092
matmul 8x52x52xf64,155559,,,23353,,155559
matmul 8x52x56xf64,168060,,,25720,,168060
matmul 8x52x60xf64,180043,,,27494,,180043
matmul 8x52x64xf64,192087,,,29318,,192087
matmul 8x52x8xf64,24081,,,3841,,24081
matmul 8x56x12xf64,38618,,,6085,,38618
matmul 8x56x16xf64,51583,,,8055,,51583
matmul 8x56x20xf64,64689,,,9998,,64689
matmul 8x56x24xf64,77556,,,11959,,77556
matmul 8x56x28xf64,90418,,,13893,,90418
matmul 8x56x32xf64,103277,,,15842,,103277
matmul 8x56x36xf64,116152,,,17847,,116152
matmul 8x56x40xf64,129052,,,19778,,129052
matmul 8x56x44xf64,141963,,,21767,,141963
matmul 8x56x48xf64,154838,,,23714,,154838
matmul 8x56x4xf64,12997,,,2156,,12997
matmul 8x56x52xf64,167759,,,25635,,167759
matmul 8x56x56xf64,180052,,,27004,,180052
matmul 8x56x60xf64,193516,,,29512,,193516
matmul 8x56x64xf64,206462,,,31469,,206462
matmul 8x56x8xf64,25882,,,4113,,25882
matmul 8x60x12xf64,41320,,,6498,,41320
matmul 8x60x16xf64,55181,,,8597,,55181
matmul 8x60x20xf64,69183,,,10674,,69183
matmul 8x60x24xf64,82951,,,12770,,82951
matmul 8x60x28xf64,96714,,,14851,,96714
matmul 8x60x32xf64,110477,,,16930,,110477
matmul 8x60x36xf64,124245,,,19066,,124245
matmul 8x60x40xf64,138041,,,21127,,138041
matmul 8x60x44xf64,151843,,,23251,,151843
matmul 8x60x48xf64,165619,,,25327,,165619
matmul 8x60x4xf64,13897,,,2294,,13897
matmul 8x60x52xf64,179441,,,27387,,179441
matmul 8x60x56xf64,193216,,,29484,,193216
matmul 8x60x60xf64,206335,,,30887,,206335
matmul 8x60x64xf64,220837,,,33620,,220837
matmul 8x60x8xf64,27683,,,4384,,27683
matmul 8x64x12xf64,44020,,,6890,,44020
matmul 8x64x16xf64,58770,,,9088,,58770
matmul 8x64x20xf64,73663,,,11333,,73663
matmul 8x64x24xf64,88318,,,13531,,88318
matmul 8x64x28xf64,102986,,,15776,,102986
matmul 8x64x32xf64,117646,,,17979,,117646
matmul 8x64x36xf64,132314,,,20247,,132314
matmul 8x64x40xf64,147007,,,22435,,147007
matmul 8x64x44xf64,161733,,,24706,,161733
matmul 8x64x48xf64,176398,,,26894,,176398
matmul 8x64x4xf64,14802,,,2423,,14802
matmul 8x64x52xf64,191117,,,29117,,191117
matmul 8x64x56xf64,205798,,,31326,,205798
matmul 8x64x60xf64,220469,,,33564,,220469
matmul 8x64x64xf64,235210,,,35753,,235210
matmul 8x64x8xf64,29475,,,4645,,29475
matmul 8x8x12xf64,3862,,,1204,,3862
matmul 8x8x16xf64,5088,,,1548,,5088
matmul 8x8x20xf64,6314,,,1885,,6314
matmul 8x8x24xf64,7536,,,2217,,7536
matmul 8x8x28xf64,8757,,,2564,,8757
matmul 8x8x32xf64,9987,,,2940,,9987
matmul 8x8x36xf64,11213,,,3265,,11213
matmul 8x8x40xf64,12434,,,3595,,12434
matmul 8x8x44xf64,13660,,,3984,,13660
matmul 8x8x48xf64,14886,,,4311,,14886
