kernels,baseline,linalg,linalg_xdsl,snitch_stream,snrt
matmul 1x8x4xf64,0.47,,0.70,,
matmul 1x8x52xf64,0.55,,0.92,,
matmul 1x8x56xf64,0.55,,0.93,,
matmul 1x8x60xf64,0.55,,0.93,,
matmul 1x8x64xf64,0.55,,0.95,,
matmul 1x8x8xf64,0.47,,0.71,,
matmul 4x12x12xf64,0.54,,0.94,,
matmul 4x12x16xf64,0.54,,0.96,,
matmul 4x12x20xf64,0.54,,0.97,,
matmul 4x12x24xf64,0.53,,0.97,,
matmul 4x12x28xf64,0.53,,0.98,,
matmul 4x12x32xf64,0.53,,0.98,,
matmul 4x12x36xf64,0.53,,0.99,,
matmul 4x12x40xf64,0.53,,0.99,,
matmul 4x12x44xf64,0.55,,0.99,,
matmul 4x12x48xf64,0.55,,1.00,,
matmul 4x12x4xf64,0.51,,0.81,,
matmul 4x12x52xf64,0.55,,1.00,,
matmul 4x12x56xf64,0.55,,1.00,,
matmul 4x12x60xf64,0.55,,1.00,,
matmul 4x12x64xf64,0.55,,1.00,,
matmul 4x12x8xf64,0.55,,0.91,,
matmul 4x16x12xf64,0.55,,0.95,,
matmul 4x16x16xf64,0.54,,0.97,,
matmul 4x16x20xf64,0.54,,0.97,,
matmul 4x16x24xf64,0.53,,0.98,,
matmul 4x16x28xf64,0.53,,0.98,,
matmul 4x16x32xf64,0.54,,0.99,,
matmul 4x16x36xf64,0.54,,0.99,,
matmul 4x16x40xf64,0.55,,0.99,,
matmul 4x16x44xf64,0.55,,0.99,,
matmul 4x16x48xf64,0.55,,1.00,,
matmul 4x16x4xf64,0.51,,0.84,,
matmul 4x16x52xf64,0.56,,1.00,,
matmul 4x16x56xf64,0.56,,1.00,,
matmul 4x16x60xf64,0.56,,1.00,,
matmul 4x16x64xf64,0.58,,1.00,,
matmul 4x16x8xf64,0.56,,0.93,,
matmul 4x20x12xf64,0.52,,0.96,,
matmul 4x20x16xf64,0.52,,0.97,,
matmul 4x20x20xf64,0.51,,0.98,,
matmul 4x20x24xf64,0.51,,0.98,,
matmul 4x20x28xf64,0.52,,0.99,,
matmul 4x20x32xf64,0.53,,0.99,,
matmul 4x20x36xf64,0.53,,0.99,,
matmul 4x20x40xf64,0.52,,0.99,,
matmul 4x20x44xf64,0.54,,1.00,,
matmul 4x20x48xf64,0.54,,1.00,,
matmul 4x20x4xf64,0.52,,0.86,,
matmul 4x20x52xf64,0.56,,1.00,,
matmul 4x20x56xf64,0.56,,1.00,,
matmul 4x20x60xf64,0.56,,1.00,,
matmul 4x20x64xf64,0.59,,1.00,,
matmul 4x20x8xf64,0.53,,0.94,,
matmul 4x24x12xf64,0.52,,0.96,,
matmul 4x24x16xf64,0.51,,0.97,,
matmul 4x24x20xf64,0.51,,0.98,,
matmul 4x24x24xf64,0.53,,0.99,,
matmul 4x24x28xf64,0.53,,0.99,,
matmul 4x24x32xf64,0.52,,0.99,,
matmul 4x24x36xf64,0.53,,0.99,,
matmul 4x24x40xf64,0.54,,0.99,,
matmul 4x24x44xf64,0.55,,1.00,,
matmul 4x24x48xf64,0.55,,1.00,,
matmul 4x24x4xf64,0.55,,0.88,,
matmul 4x24x52xf64,0.58,,1.00,,
matmul 4x24x56xf64,0.58,,1.00,,
matmul 4x24x60xf64,0.58,,1.00,,
matmul 4x24x64xf64,0.59,,1.00,,
matmul 4x24x8xf64,0.53,,0.94,,
matmul 4x28x12xf64,0.51,,0.97,,
matmul 4x28x16xf64,0.51,,0.98,,
matmul 4x28x20xf64,0.52,,0.98,,
matmul 4x28x24xf64,0.52,,0.99,,
matmul 4x28x28xf64,0.52,,0.99,,
matmul 4x28x32xf64,0.54,,0.99,,
matmul 4x28x36xf64,0.54,,0.99,,
matmul 4x28x40xf64,0.54,,1.00,,
matmul 4x28x44xf64,0.56,,1.00,,
matmul 4x28x48xf64,0.56,,1.00,,
matmul 4x28x4xf64,0.54,,0.89,,
matmul 4x28x52xf64,0.58,,1.00,,
matmul 4x28x56xf64,0.58,,1.00,,
matmul 4x28x60xf64,0.58,,1.00,,
matmul 4x28x64xf64,0.59,,1.00,,
matmul 4x28x8xf64,0.52,,0.95,,
matmul 4x32x12xf64,0.97,,0.97,,
matmul 4x32x16xf64,0.97,,0.98,,
matmul 4x32x20xf64,0.91,,0.99,,
matmul 4x32x24xf64,0.92,,0.99,,
matmul 4x32x28xf64,0.92,,0.99,,
matmul 4x32x32xf64,0.92,,0.99,,
matmul 4x32x36xf64,0.92,,0.99,,
matmul 4x32x40xf64,0.93,,1.00,,
matmul 4x32x44xf64,0.93,,1.00,,
matmul 4x32x48xf64,0.93,,1.00,,
matmul 4x32x4xf64,0.85,,0.90,,
matmul 4x32x52xf64,0.93,,1.00,,
matmul 4x32x56xf64,0.93,,1.00,,
matmul 4x32x60xf64,0.93,,1.00,,
matmul 4x32x64xf64,0.94,,1.00,,
matmul 4x32x8xf64,0.96,,0.96,,
matmul 4x36x12xf64,0.98,,0.97,,
matmul 4x36x16xf64,0.98,,0.98,,
matmul 4x36x20xf64,0.99,,0.99,,
matmul 4x36x24xf64,0.99,,0.99,,
matmul 4x36x28xf64,1.00,,0.99,,
matmul 4x36x32xf64,1.00,,0.99,,
matmul 4x36x36xf64,1.00,,1.00,,
matmul 4x36x40xf64,1.00,,1.00,,
matmul 4x36x44xf64,1.00,,1.00,,
matmul 4x36x48xf64,1.00,,1.00,,
matmul 4x36x4xf64,0.93,,0.91,,
matmul 4x36x52xf64,1.00,,1.00,,
matmul 4x36x56xf64,1.00,,1.00,,
matmul 4x36x60xf64,1.00,,1.00,,
matmul 4x36x64xf64,1.00,,1.00,,
matmul 4x36x8xf64,0.98,,0.96,,
matmul 4x40x12xf64,0.98,,0.98,,
matmul 4x40x16xf64,0.98,,0.98,,
matmul 4x40x20xf64,0.99,,0.99,,
matmul 4x40x24xf64,1.00,,0.99,,
matmul 4x40x28xf64,1.00,,0.99,,
matmul 4x40x32xf64,1.00,,0.99,,
matmul 4x40x36xf64,1.00,,1.00,,
matmul 4x40x40xf64,1.00,,1.00,,
matmul 4x40x44xf64,1.00,,1.00,,
matmul 4x40x48xf64,1.00,,1.00,,
matmul 4x40x4xf64,0.96,,0.92,,
matmul 4x40x52xf64,1.00,,1.00,,
matmul 4x40x56xf64,1.00,,1.00,,
matmul 4x40x60xf64,1.00,,1.00,,
matmul 4x40x64xf64,1.00,,1.00,,
matmul 4x40x8xf64,0.98,,0.96,,
matmul 4x44x12xf64,0.99,,0.98,,
matmul 4x44x16xf64,0.99,,0.99,,
matmul 4x44x20xf64,0.99,,0.99,,
matmul 4x44x24xf64,1.00,,0.99,,
matmul 4x44x28xf64,1.00,,0.99,,
matmul 4x44x32xf64,1.00,,1.00,,
matmul 4x44x36xf64,1.00,,1.00,,
matmul 4x44x40xf64,1.00,,1.00,,
matmul 4x44x44xf64,1.00,,1.00,,
matmul 4x44x48xf64,1.00,,1.00,,
matmul 4x44x4xf64,0.96,,0.92,,
matmul 4x44x52xf64,1.00,,1.00,,
matmul 4x44x56xf64,1.00,,1.00,,
matmul 4x44x60xf64,1.00,,1.00,,
matmul 4x44x64xf64,1.00,,1.00,,
matmul 4x44x8xf64,0.98,,0.97,,
matmul 4x48x12xf64,0.99,,0.98,,
matmul 4x48x16xf64,0.99,,0.99,,
matmul 4x48x20xf64,1.00,,0.99,,
matmul 4x48x24xf64,1.00,,0.99,,
matmul 4x48x28xf64,1.00,,0.99,,
matmul 4x48x32xf64,1.00,,1.00,,
matmul 4x48x36xf64,1.00,,1.00,,
matmul 4x48x40xf64,1.00,,1.00,,
matmul 4x48x44xf64,1.00,,1.00,,
matmul 4x48x48xf64,1.00,,1.00,,
matmul 4x48x4xf64,0.96,,0.93,,
matmul 4x48x52xf64,1.00,,1.00,,
matmul 4x48x56xf64,1.00,,1.00,,
matmul 4x48x60xf64,1.00,,1.00,,
matmul 4x48x64xf64,1.00,,1.00,,
matmul 4x48x8xf64,0.98,,0.97,,
matmul 4x4x12xf64,0.43,,0.89,,
matmul 4x4x16xf64,0.61,,0.92,,
matmul 4x4x20xf64,0.62,,0.94,,
matmul 4x4x24xf64,0.62,,0.95,,
matmul 4x4x28xf64,0.62,,0.96,,
matmul 4x4x32xf64,0.62,,0.97,,
matmul 4x4x36xf64,0.62,,0.98,,
matmul 4x4x40xf64,0.62,,0.98,,
matmul 4x4x44xf64,0.62,,0.99,,
matmul 4x4x48xf64,0.62,,0.99,,
matmul 4x4x4xf64,0.37,,0.71,,
matmul 4x4x52xf64,0.62,,0.99,,
matmul 4x4x56xf64,0.62,,1.00,,
matmul 4x4x60xf64,0.62,,1.00,,
matmul 4x4x64xf64,0.62,,1.00,,
matmul 4x4x8xf64,0.59,,0.84,,
matmul 4x52x12xf64,0.99,,0.98,,
matmul 4x52x16xf64,0.99,,0.99,,
matmul 4x52x20xf64,1.00,,0.99,,
matmul 4x52x24xf64,1.00,,0.99,,
matmul 4x52x28xf64,1.00,,0.99,,
matmul 4x52x32xf64,1.00,,1.00,,
matmul 4x52x36xf64,1.00,,1.00,,
matmul 4x52x40xf64,1.00,,1.00,,
matmul 4x52x44xf64,1.00,,1.00,,
matmul 4x52x48xf64,1.00,,1.00,,
matmul 4x52x4xf64,0.97,,0.93,,
matmul 4x52x52xf64,1.00,,1.00,,
matmul 4x52x56xf64,1.00,,1.00,,
matmul 4x52x60xf64,1.00,,1.00,,
matmul 4x52x64xf64,1.00,,1.00,,
matmul 4x52x8xf64,0.99,,0.97,,
matmul 4x56x12xf64,0.99,,0.98,,
matmul 4x56x16xf64,0.99,,0.99,,
matmul 4x56x20xf64,1.00,,0.99,,
matmul 4x56x24xf64,1.00,,0.99,,
matmul 4x56x28xf64,1.00,,0.99,,
matmul 4x56x32xf64,1.00,,1.00,,
matmul 4x56x36xf64,1.00,,1.00,,
matmul 4x56x40xf64,1.00,,1.00,,
matmul 4x56x44xf64,1.00,,1.00,,
matmul 4x56x48xf64,1.00,,1.00,,
matmul 4x56x4xf64,0.97,,0.94,,
matmul 4x56x52xf64,1.00,,1.00,,
matmul 4x56x56xf64,1.00,,1.00,,
matmul 4x56x60xf64,1.00,,1.00,,
matmul 4x56x64xf64,1.00,,1.00,,
matmul 4x56x8xf64,0.99,,0.97,,
matmul 4x60x12xf64,0.99,,0.98,,
matmul 4x60x16xf64,0.99,,0.99,,
matmul 4x60x20xf64,1.00,,0.99,,
matmul 4x60x24xf64,1.00,,0.99,,
matmul 4x60x28xf64,1.00,,1.00,,
matmul 4x60x32xf64,1.00,,1.00,,
matmul 4x60x36xf64,1.00,,1.00,,
matmul 4x60x40xf64,1.00,,1.00,,
matmul 4x60x44xf64,1.00,,1.00,,
matmul 4x60x48xf64,1.00,,1.00,,
matmul 4x60x4xf64,0.97,,0.94,,
matmul 4x60x52xf64,1.00,,1.00,,
matmul 4x60x56xf64,1.00,,1.00,,
matmul 4x60x60xf64,1.00,,1.00,,
matmul 4x60x64xf64,1.00,,1.00,,
matmul 4x60x8xf64,0.99,,0.97,,
matmul 4x64x12xf64,0.99,,0.98,,
matmul 4x64x16xf64,0.99,,0.99,,
matmul 4x64x20xf64,1.00,,0.99,,
