kernels,baseline,linalg,linalg_xdsl,snitch_stream,snrt
matmul 4x52x60xf64,89595,,13109,,
matmul 4x52x64xf64,95563,,14022,,
matmul 4x52x8xf64,11939,,1814,,
matmul 4x56x12xf64,19175,,2869,,
matmul 4x56x16xf64,25638,,3814,,
matmul 4x56x20xf64,32155,,4747,,
matmul 4x56x24xf64,38571,,5669,,
matmul 4x56x28xf64,44987,,6603,,
matmul 4x56x32xf64,51403,,7558,,
matmul 4x56x36xf64,57819,,8469,,
matmul 4x56x40xf64,64235,,9419,,
matmul 4x56x44xf64,70651,,10366,,
matmul 4x56x48xf64,77067,,11269,,
matmul 4x56x4xf64,6435,,992,,
matmul 4x56x52xf64,83483,,12238,,
matmul 4x56x56xf64,89899,,13124,,
matmul 4x56x60xf64,96309,,14075,,
matmul 4x56x64xf64,102725,,15045,,
matmul 4x56x8xf64,12835,,1942,,
matmul 4x60x12xf64,20519,,3061,,
matmul 4x60x16xf64,27430,,4070,,
matmul 4x60x20xf64,34395,,5067,,
matmul 4x60x24xf64,41259,,6053,,
matmul 4x60x28xf64,48123,,7051,,
matmul 4x60x32xf64,54987,,8070,,
matmul 4x60x36xf64,61851,,9045,,
matmul 4x60x40xf64,68715,,10053,,
matmul 4x60x44xf64,75579,,11070,,
matmul 4x60x48xf64,82443,,12037,,
matmul 4x60x4xf64,6883,,1056,,
matmul 4x60x52xf64,89307,,13070,,
matmul 4x60x56xf64,96171,,14020,,
matmul 4x60x60xf64,103035,,15029,,
matmul 4x60x64xf64,109899,,16070,,
matmul 4x60x8xf64,13731,,2070,,
matmul 4x64x12xf64,21863,,3253,,
matmul 4x64x16xf64,29230,,4331,,
matmul 4x64x20xf64,36635,,5387,,
matmul 4x64x24xf64,43941,,6437,,
matmul 4x64x28xf64,51259,,7499,,
matmul 4x64x32xf64,58565,,8587,,
matmul 4x64x36xf64,65883,,9621,,
matmul 4x64x40xf64,73189,,10699,,
matmul 4x64x44xf64,80507,,11774,,
matmul 4x64x48xf64,87813,,12805,,
matmul 4x64x4xf64,7328,,1125,,
matmul 4x64x52xf64,95131,,13902,,
matmul 4x64x56xf64,102437,,14923,,
matmul 4x64x60xf64,109755,,15989,,
matmul 4x64x64xf64,117067,,17099,,
matmul 4x64x8xf64,14627,,2203,,
matmul 4x8x12xf64,2239,,563,,
matmul 4x8x16xf64,2975,,748,,
matmul 4x8x20xf64,3711,,900,,
matmul 4x8x24xf64,4447,,1059,,
matmul 4x8x28xf64,5183,,1219,,
matmul 4x8x32xf64,5911,,1412,,
matmul 4x8x36xf64,6647,,1562,,
matmul 4x8x40xf64,7383,,1733,,
matmul 4x8x44xf64,8119,,1918,,
matmul 4x8x48xf64,8855,,2053,,
matmul 4x8x4xf64,752,,226,,
matmul 4x8x52xf64,9589,,2260,,
