kernels,baseline,linalg,linalg_xdsl,snitch_stream,snrt
matmul 4x4x32xf64,0.19,,0.81,,
matmul 4x4x36xf64,0.19,,0.82,,
matmul 4x4x40xf64,0.19,,0.83,,
matmul 4x4x44xf64,0.19,,0.84,,
matmul 4x4x48xf64,0.19,,0.85,,
matmul 4x4x4xf64,0.18,,0.45,,
matmul 4x4x52xf64,0.19,,0.85,,
matmul 4x4x56xf64,0.19,,0.86,,
matmul 4x4x60xf64,0.19,,0.86,,
matmul 4x4x64xf64,0.19,,0.86,,
matmul 4x4x8xf64,0.28,,0.60,,
matmul 4x52x12xf64,0.14,,0.95,,
matmul 4x52x16xf64,0.14,,0.96,,
matmul 4x52x20xf64,0.14,,0.96,,
matmul 4x52x24xf64,0.14,,0.97,,
matmul 4x52x28xf64,0.14,,0.97,,
matmul 4x52x32xf64,0.14,,0.97,,
matmul 4x52x36xf64,0.14,,0.98,,
matmul 4x52x40xf64,0.14,,0.98,,
matmul 4x52x44xf64,0.14,,0.98,,
matmul 4x52x48xf64,0.14,,0.98,,
matmul 4x52x4xf64,0.14,,0.88,,
matmul 4x52x52xf64,0.14,,0.98,,
matmul 4x52x56xf64,0.14,,0.98,,
matmul 4x52x60xf64,0.14,,0.98,,
matmul 4x52x64xf64,0.14,,0.98,,
matmul 4x52x8xf64,0.14,,0.93,,
matmul 4x56x12xf64,0.14,,0.95,,
matmul 4x56x16xf64,0.14,,0.96,,
matmul 4x56x20xf64,0.14,,0.97,,
matmul 4x56x24xf64,0.14,,0.97,,
matmul 4x56x28xf64,0.14,,0.97,,
matmul 4x56x32xf64,0.14,,0.98,,
matmul 4x56x36xf64,0.14,,0.98,,
matmul 4x56x40xf64,0.14,,0.98,,
matmul 4x56x44xf64,0.14,,0.98,,
matmul 4x56x48xf64,0.14,,0.98,,
matmul 4x56x4xf64,0.14,,0.88,,
matmul 4x56x52xf64,0.14,,0.98,,
matmul 4x56x56xf64,0.14,,0.98,,
matmul 4x56x60xf64,0.14,,0.98,,
matmul 4x56x64xf64,0.14,,0.98,,
matmul 4x56x8xf64,0.14,,0.93,,
